userid,age,  Gender  ,location,  Income  ,debt,  Owns Property  ,profession,  Demographics  ,  Platform  ,  Total Time Spent  ,number of sessions,video id,video category,  Video Length  ,  Engagement  ,  Importance Score  ,time spent on video,  Number Of Videos Watched  ,  Scroll Rate  ,  Frequency  ,productivityloss,  Satisfaction  ,  Watch Reason  ,  Devicetype  ,  Os  ,  Watch Time  ,  Self Control  ,  Addiction Level  ,currentactivity,connectiontype,  Favorite Day Of The Week  ,coffee preference,  Random Quote  ,  Mood Today  ,  Shoe Size  ,  Breakfast Item  ,  Favorite Emoji  ,marital status,  Pet Name  
494,49,  Male  ,  Barzil  ,94637,  True  ,  True  ,  Students  ,  Rural  ,  TikTok  ,197,14,8244,  Entertainment  ,10,3626,4,25,6,54,  Night  ,2,8,  Habit  ,  Tablet  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Saturday  ,  Cappuccino  ,  YOLO  ,  Happy  ,7,  Omelette  ,  💡  ,  Single  ,  Luna  
495,44,  Male  ,  Indonesia  ,98033,  True  ,  False  ,  Labor/Worker  ,  Rural  ,  TikTok  ,168,3,9554,  Gaming  ,13,184,7,24,48,47,  Afternoon  ,6,4,  Procrastination  ,  Computer  ,  iOS  ,  7:25 PM  ,8,2,  At school  ,  Mobile Data  ,  Monday  ,  None  ,  Hakuna Matata  ,  Anxious  ,,  Toast  ,  🔥  ,  Divorced  ,  Max  
496,37,  Male  ,  India  ,90194,  nan  ,  True  ,  Waiting staff  ,  Rural  ,  YouTube  ,252,15,9387,  Jokes/Memes  ,2,,2,17,11,39,  Night  ,2,8,  Procrastination  ,  Smartphone  ,  Android  ,  11:30 PM  ,4,6,  At work  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  Keep going  ,  Excited  ,6,  Cereal  ,  nan  ,  Married  ,  Max  
497,41,  Female  ,  Indonesia  ,96917,  True  ,  False  ,  Engineer  ,  Urban  ,  TikTok  ,82,19,4020,  Vlogs  ,3,8412,3,10,3,30,  Night  ,2,8,  Entertainment  ,  Tablet  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Friday  ,  Latte  ,  Live Laugh Love  ,  Sad  ,6,  Toast  ,  😂  ,  Single  ,  Buddy  
498,29,  Female  ,  Germany  ,84200,  True  ,  True  ,  driver  ,  Urban  ,  YouTube  ,58,17,3139,  Entertainment  ,19,8031,6,28,28,7,  Night  ,2,8,  Entertainment  ,  Tablet  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Thursday  ,  Espresso  ,  Keep going  ,  Happy  ,10,  Toast  ,  😴  ,  Divorced  ,  Max  
499,52,  Male  ,  Indonesia  ,66619,  True  ,  False  ,  Artist  ,  Rural  ,  Instagram  ,110,3,9841,  Gaming  ,6,5563,8,25,41,22,  nan  ,9,1,  Entertainment  ,  Computer  ,  iOS  ,  7:45 AM  ,10,0,  At work  ,  Mobile Data  ,  Monday  ,  Espresso  ,  Hakuna Matata  ,  Tired  ,5,  Pancakes  ,  😴  ,  Divorced  ,  None  
500,50,  Female  ,  Vietnam  ,37154,  False  ,  True  ,  Waiting staff  ,  Rural  ,  TikTok  ,11,16,672,  Jokes/Memes  ,19,3188,1,18,15,50,  Morning  ,9,1,  Boredom  ,  Tablet  ,  Android  ,  7:45 AM  ,10,0,  At home  ,  Wi-Fi  ,  Sunday  ,  Latte  ,  Keep going  ,  Happy  ,,  Cereal  ,  😊  ,  Complicated  ,  Max  
501,50,  Male  ,  United States  ,39539,  False  ,  False  ,  driver  ,  Urban  ,  TikTok  ,253,14,778,  Vlogs  ,27,9285,4,19,13,45,  Night  ,2,8,  Habit  ,  Tablet  ,  iOS  ,  11:30 PM  ,4,6,  At home  ,  Wi-Fi  ,  Thursday  ,  Espresso  ,  Carpe Diem  ,  Anxious  ,10,  Omelette  ,  nan  ,  Married  ,  Max  
502,60,  Other  ,  United States  ,80058,  True  ,  nan  ,  Students  ,  Rural  ,  Facebook  ,185,12,4928,  Vlogs  ,21,2945,1,18,42,74,  Morning  ,9,1,  Entertainment  ,  Tablet  ,  iOS  ,  7:45 AM  ,10,0,  At home  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  Keep going  ,  Sad  ,12,  Pancakes  ,  😴  ,  Single  ,  None  
503,54,  Male  ,  Pakistan  ,82068,  True  ,  False  ,  Students  ,  Urban  ,  Instagram  ,247,12,3023,  Jokes/Memes  ,20,6765,2,13,45,72,  Evening  ,7,3,  Entertainment  ,  Tablet  ,  Android  ,  3:55 PM  ,9,1,  At home  ,  Mobile Data  ,  Monday  ,  Latte  ,  Carpe Diem  ,  Tired  ,6,  Toast  ,  💡  ,  Married  ,  Bella  
504,29,  Male  ,  Vietnam  ,97313,  True  ,  True  ,  Students  ,  Rural  ,  Instagram  ,68,11,1861,  Life Hacks  ,19,2474,8,14,17,91,  Morning  ,9,1,  Boredom  ,  Smartphone  ,  Windows  ,  7:45 AM  ,10,0,  At home  ,  Mobile Data  ,  Friday  ,  Cappuccino  ,  Keep going  ,  Happy  ,,  Pancakes  ,  😂  ,  Complicated  ,  None  
505,20,  Female  ,  India  ,50373,  True  ,  False  ,  Waiting staff  ,  Urban  ,  Facebook  ,108,17,3140,  ASMR  ,8,6787,6,24,7,10,  nan  ,6,4,  Boredom  ,  Smartphone  ,  iOS  ,  7:25 PM  ,8,2,  Commuting  ,  Wi-Fi  ,  Wednesday  ,  Espresso  ,  YOLO  ,  Excited  ,,  Pancakes  ,  💡  ,  Divorced  ,  Max  
506,18,  Male  ,  Pakistan  ,53154,  True  ,  True  ,  Manager  ,  Rural  ,  Facebook  ,11,8,1075,  Jokes/Memes  ,14,8792,9,16,28,14,  Afternoon  ,6,4,  Entertainment  ,  Computer  ,  iOS  ,  7:25 PM  ,8,2,  At school  ,  Mobile Data  ,  Monday  ,  Espresso  ,  YOLO  ,  Excited  ,6,  Cereal  ,  😊  ,  Divorced  ,  None  
507,50,  Male  ,  Indonesia  ,26031,  False  ,  False  ,  Labor/Worker  ,  Rural  ,  YouTube  ,252,17,9909,  Jokes/Memes  ,10,,2,18,38,46,  Evening  ,7,3,  Entertainment  ,  Tablet  ,  Android  ,  3:55 PM  ,9,1,  At work  ,  Mobile Data  ,  Friday  ,  Black  ,  Carpe Diem  ,  Tired  ,10,  Nothing  ,  😊  ,  Complicated  ,  Max  
508,57,  Female  ,  India  ,91975,  True  ,  True  ,  Students  ,  Rural  ,  YouTube  ,220,11,9476,  Comedy  ,3,4599,3,26,13,75,  Evening  ,7,3,  Habit  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At home  ,  Wi-Fi  ,  Thursday  ,  None  ,  Live Laugh Love  ,  Anxious  ,5,  Omelette  ,  😂  ,  Married  ,  Max  
509,27,  Female  ,  Philippines  ,42785,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,132,2,6764,  Vlogs  ,6,6274,9,18,17,6,  nan  ,6,4,  nan  ,  Smartphone  ,  Android  ,  7:25 PM  ,8,2,  At work  ,  Mobile Data  ,  Monday  ,  Latte  ,  Keep going  ,  Sad  ,12,  Omelette  ,  😴  ,  Divorced  ,  None  
510,60,  Other  ,  India  ,98928,  nan  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,238,10,1987,  Pranks  ,29,4313,9,16,15,21,  Night  ,2,8,  Procrastination  ,  Smartphone  ,  MacOS  ,  11:30 PM  ,4,6,  At work  ,  Mobile Data  ,  Wednesday  ,  None  ,  YOLO  ,  Sad  ,8,  Cereal  ,  😴  ,  Single  ,  Buddy  
511,61,  Female  ,  Mexico  ,48669,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,91,10,9194,  Jokes/Memes  ,15,2218,6,17,36,62,  Night  ,2,8,  Habit  ,  Smartphone  ,  Android  ,  11:30 PM  ,4,6,  Commuting  ,  Mobile Data  ,  Thursday  ,  Latte  ,  Keep going  ,  Tired  ,5,  Nothing  ,  😊  ,  Single  ,  Bella  
512,46,  Male  ,  Pakistan  ,22282,  nan  ,  False  ,  Students  ,  Urban  ,  TikTok  ,153,11,6328,  Gaming  ,23,1152,3,7,28,97,  Afternoon  ,6,4,  nan  ,  Smartphone  ,  Android  ,  7:25 PM  ,8,2,  At school  ,  Wi-Fi  ,  Friday  ,  None  ,  Carpe Diem  ,  Excited  ,11,  Cereal  ,  nan  ,  nan  ,  Bella  
513,30,  Female  ,  Indonesia  ,54624,  True  ,  True  ,  Engineer  ,  nan  ,  YouTube  ,149,6,1047,  ASMR  ,23,,5,12,15,19,  nan  ,9,1,  Entertainment  ,  Smartphone  ,  iOS  ,  7:45 AM  ,10,0,  At work  ,  Wi-Fi  ,  Friday  ,  Cappuccino  ,  Live Laugh Love  ,  Excited  ,10,  Pancakes  ,  😊  ,  Married  ,  Buddy  
514,29,  Female  ,  India  ,68438,  True  ,  False  ,  Labor/Worker  ,  Urban  ,  Instagram  ,38,4,2177,  Vlogs  ,18,9396,2,2,46,88,  Night  ,2,8,  Entertainment  ,  Smartphone  ,  iOS  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Monday  ,  None  ,  YOLO  ,  Happy  ,,  Pancakes  ,  😴  ,  Married  ,  Buddy  
515,48,  Other  ,  Barzil  ,87534,  True  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,279,12,2339,  Comedy  ,14,143,7,10,11,82,  Afternoon  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  7:25 PM  ,8,2,  At work  ,  Mobile Data  ,  Tuesday  ,  Black  ,  YOLO  ,  Sad  ,10,  Omelette  ,  😴  ,  Complicated  ,  Luna  
516,63,  Male  ,  United States  ,51705,  True  ,  False  ,  Students  ,  Rural  ,  Instagram  ,256,11,501,  Entertainment  ,19,7218,8,5,31,99,  Evening  ,7,3,  Procrastination  ,  Smartphone  ,  Windows  ,  3:55 PM  ,9,1,  At home  ,  Mobile Data  ,  Wednesday  ,  Black  ,  Keep going  ,  Anxious  ,6,  Cereal  ,  🔥  ,  Married  ,  Bella  
517,19,  Male  ,  Japan  ,58244,  True  ,  True  ,  Waiting staff  ,  nan  ,  TikTok  ,21,13,2234,  Vlogs  ,28,8559,6,21,4,62,  Afternoon  ,6,4,  nan  ,  Smartphone  ,  Android  ,  7:25 PM  ,8,2,  At school  ,  Mobile Data  ,  Thursday  ,  Black  ,  Carpe Diem  ,  Anxious  ,8,  Toast  ,  💡  ,  Divorced  ,  Luna  
518,52,  Male  ,  United States  ,94964,  True  ,  False  ,  Waiting staff  ,  Urban  ,  Facebook  ,115,5,4609,  Trends  ,26,9674,8,3,35,83,  Morning  ,9,1,  Entertainment  ,  Smartphone  ,  Android  ,  7:45 AM  ,10,0,  At work  ,  Mobile Data  ,  Sunday  ,  Black  ,  Live Laugh Love  ,  Tired  ,7,  Toast  ,  🔥  ,  Complicated  ,  Luna  
519,40,  Female  ,  India  ,57437,  True  ,  True  ,  Students  ,  Rural  ,  TikTok  ,41,6,7235,  Gaming  ,10,6361,2,19,34,53,  Morning  ,9,1,  Boredom  ,  Tablet  ,  Windows  ,  7:45 AM  ,10,0,  At home  ,  Mobile Data  ,  Thursday  ,  Black  ,  Hakuna Matata  ,  Excited  ,7,  Cereal  ,  nan  ,  Single  ,  Max  
520,34,  Male  ,  India  ,97872,  True  ,  False  ,  Students  ,  Urban  ,  TikTok  ,83,1,7973,  Life Hacks  ,15,615,3,13,27,24,  Afternoon  ,6,4,  Boredom  ,  Tablet  ,  Windows  ,  7:25 PM  ,8,2,  At work  ,  Wi-Fi  ,  Tuesday  ,  None  ,  YOLO  ,  Excited  ,7,  Cereal  ,  😊  ,  nan  ,  None  
521,43,  Male  ,  Germany  ,94878,  True  ,  True  ,  Engineer  ,  Rural  ,  TikTok  ,180,6,6611,  Vlogs  ,4,8062,7,12,10,56,  Night  ,2,8,  Entertainment  ,  Smartphone  ,  Android  ,  11:30 PM  ,4,6,  At school  ,  Mobile Data  ,  Monday  ,  Black  ,  Keep going  ,  Sad  ,,  Omelette  ,  nan  ,  Single  ,  Bella  
522,25,  Other  ,  India  ,92982,  True  ,  nan  ,  Labor/Worker  ,  Rural  ,  YouTube  ,78,18,601,  Life Hacks  ,23,5977,1,3,30,62,  Evening  ,7,3,  Entertainment  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Wi-Fi  ,  Sunday  ,  Cappuccino  ,  Carpe Diem  ,  Sad  ,11,  Cereal  ,  nan  ,  Complicated  ,  Luna  
523,46,  Female  ,  India  ,70583,  nan  ,  True  ,  Waiting staff  ,  Urban  ,  Facebook  ,146,9,,  Trends  ,2,9780,7,6,45,34,  Afternoon  ,6,4,  Habit  ,  Computer  ,  Windows  ,  7:25 PM  ,8,2,  At school  ,  Mobile Data  ,  Saturday  ,  Latte  ,  Hakuna Matata  ,  Tired  ,,  Omelette  ,  🔥  ,  Divorced  ,  None  
524,43,  Male  ,  India  ,58392,  True  ,  False  ,  Teacher  ,  Rural  ,  TikTok  ,109,15,9181,  Jokes/Memes  ,3,6984,6,14,20,22,  nan  ,7,3,  Entertainment  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Saturday  ,  Espresso  ,  Keep going  ,  Excited  ,6,  Cereal  ,  😂  ,  Single  ,  Luna  
525,27,  Other  ,  United States  ,27461,  False  ,  True  ,  Artist  ,  Urban  ,  TikTok  ,155,8,4484,  Jokes/Memes  ,7,8890,8,4,29,68,  Afternoon  ,6,4,  Habit  ,  Smartphone  ,  iOS  ,  7:25 PM  ,8,2,  At home  ,  Mobile Data  ,  Sunday  ,  None  ,  YOLO  ,  Anxious  ,,  Pancakes  ,  😴  ,  Married  ,  Bella  
526,43,  Male  ,  India  ,30516,  False  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,18,19,5902,  Life Hacks  ,23,4971,7,13,29,57,  Morning  ,9,1,  nan  ,  Smartphone  ,  iOS  ,  7:45 AM  ,10,0,  At home  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  Live Laugh Love  ,  Excited  ,11,  Toast  ,  💡  ,  Single  ,  Buddy  
527,51,  Male  ,  Pakistan  ,99285,  True  ,  True  ,  Students  ,  Rural  ,  Facebook  ,71,16,6130,  Life Hacks  ,16,5781,4,19,23,10,  Afternoon  ,6,4,  Procrastination  ,  Smartphone  ,  iOS  ,  7:25 PM  ,8,2,  At work  ,  Mobile Data  ,  Monday  ,  None  ,  Live Laugh Love  ,  Sad  ,6,  Cereal  ,  😂  ,  nan  ,  Max  
528,58,  Other  ,  Japan  ,37514,  False  ,  False  ,  Engineer  ,  Rural  ,  TikTok  ,194,6,1755,  Trends  ,10,944,3,18,21,66,  Evening  ,7,3,  Habit  ,  Smartphone  ,  iOS  ,  3:55 PM  ,9,1,  At work  ,  Wi-Fi  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Excited  ,5,  Pancakes  ,  💡  ,  Single  ,  Buddy  
529,24,  Male  ,  India  ,56268,  True  ,  True  ,  Artist  ,  Urban  ,  Instagram  ,38,6,2465,  Comedy  ,19,9114,3,29,48,8,  nan  ,2,8,  nan  ,  Computer  ,  Android  ,  11:30 PM  ,4,6,  At school  ,  Mobile Data  ,  Friday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,6,  Omelette  ,  🔥  ,  Divorced  ,  Bella  
530,21,  Female  ,  Japan  ,56788,  True  ,  nan  ,  Waiting staff  ,  Rural  ,  Instagram  ,123,3,4483,  Gaming  ,28,7078,4,3,43,97,  Night  ,2,8,  Boredom  ,  Smartphone  ,  MacOS  ,  11:30 PM  ,4,6,  At work  ,  Wi-Fi  ,  Thursday  ,  Black  ,  Hakuna Matata  ,  Tired  ,11,  Pancakes  ,  😂  ,  Single  ,  Buddy  
531,62,  Male  ,  Philippines  ,95749,  True  ,  nan  ,  Artist  ,  Rural  ,  YouTube  ,152,10,9687,  Entertainment  ,17,1746,9,20,10,38,  Night  ,2,8,  Procrastination  ,  Tablet  ,  Android  ,  11:30 PM  ,4,6,  At school  ,  Wi-Fi  ,  Friday  ,  Black  ,  Hakuna Matata  ,  Sad  ,8,  Pancakes  ,  🔥  ,  Married  ,  Luna  
532,28,  Female  ,  Indonesia  ,81049,  True  ,  True  ,  Cashier  ,  Rural  ,  Instagram  ,129,1,9045,  Pranks  ,28,5783,9,6,41,62,  Evening  ,7,3,  Procrastination  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At home  ,  Mobile Data  ,  Monday  ,  Cappuccino  ,  Live Laugh Love  ,  Anxious  ,11,  Toast  ,  🔥  ,  Single  ,  Max  
533,46,  Male  ,  India  ,82493,  True  ,  False  ,  Labor/Worker  ,  Rural  ,  TikTok  ,179,14,7401,  Jokes/Memes  ,19,9751,2,16,12,28,  Night  ,2,8,  Entertainment  ,  Smartphone  ,  Windows  ,  11:30 PM  ,4,6,  At work  ,  Mobile Data  ,  Friday  ,  Latte  ,  Live Laugh Love  ,  Sad  ,6,  Omelette  ,  🔥  ,  Divorced  ,  None  
534,53,  Female  ,  United States  ,56027,  True  ,  True  ,  Students  ,  nan  ,  YouTube  ,166,4,6807,  Vlogs  ,5,6907,5,20,30,10,  Night  ,2,8,  Entertainment  ,  Smartphone  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Thursday  ,  Espresso  ,  YOLO  ,  Anxious  ,5,  Toast  ,  nan  ,  Divorced  ,  Bella  
535,42,  Other  ,  India  ,62849,  nan  ,  False  ,  Cashier  ,  Rural  ,  YouTube  ,269,12,8644,  Gaming  ,23,9275,1,24,33,45,  Night  ,2,8,  Habit  ,  Computer  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Wi-Fi  ,  Wednesday  ,  None  ,  Live Laugh Love  ,  Excited  ,6,  Pancakes  ,  💡  ,  Divorced  ,  Buddy  
536,38,  Male  ,  Indonesia  ,37858,  False  ,  nan  ,  Manager  ,  Rural  ,  TikTok  ,91,6,7397,  Life Hacks  ,20,8625,4,3,18,65,  Night  ,2,8,  Entertainment  ,  Tablet  ,  Android  ,  11:30 PM  ,4,6,  At school  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  Hakuna Matata  ,  Tired  ,,  Cereal  ,  😂  ,  Complicated  ,  Luna  
537,53,  Female  ,  Philippines  ,99003,  True  ,  False  ,  driver  ,  Rural  ,  Facebook  ,251,11,7339,  Trends  ,13,2926,2,12,14,98,  Evening  ,7,3,  Procrastination  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  Carpe Diem  ,  Excited  ,11,  Nothing  ,  🔥  ,  Complicated  ,  Max  
538,27,  Male  ,  United States  ,72395,  True  ,  True  ,  driver  ,  nan  ,  Instagram  ,181,12,,  ASMR  ,13,1089,8,19,22,67,  Night  ,2,8,  Boredom  ,  Smartphone  ,  Android  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Saturday  ,  None  ,  Live Laugh Love  ,  Sad  ,12,  Cereal  ,  😊  ,  nan  ,  Max  
539,54,  Male  ,  India  ,59758,  True  ,  False  ,  Students  ,  Rural  ,  YouTube  ,240,10,5242,  Life Hacks  ,11,2957,4,19,21,9,  Evening  ,7,3,  Boredom  ,  Tablet  ,  Android  ,  3:55 PM  ,9,1,  At work  ,  Mobile Data  ,  Friday  ,  Cappuccino  ,  Live Laugh Love  ,  Tired  ,8,  Nothing  ,  💡  ,  Married  ,  Buddy  
540,26,  Other  ,  India  ,74312,  True  ,  True  ,  Artist  ,  Rural  ,  Facebook  ,217,18,7395,  Gaming  ,11,2612,5,24,1,5,  Evening  ,7,3,  Boredom  ,  Tablet  ,  MacOS  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Saturday  ,  Espresso  ,  YOLO  ,  Excited  ,12,  Toast  ,  🔥  ,  Complicated  ,  None  
541,41,  Male  ,  Japan  ,88670,  nan  ,  False  ,  Students  ,  Urban  ,  TikTok  ,84,7,6438,  Trends  ,16,6047,4,4,49,10,  Evening  ,7,3,  Habit  ,  Computer  ,  Android  ,  3:55 PM  ,9,1,  Commuting  ,  Wi-Fi  ,  Monday  ,  Espresso  ,  Hakuna Matata  ,  Happy  ,11,  Omelette  ,  😊  ,  Single  ,  Buddy  
542,52,  Male  ,  Indonesia  ,35434,  False  ,  True  ,  Waiting staff  ,  Rural  ,  Instagram  ,279,7,4696,  Trends  ,15,,5,1,43,12,  Night  ,2,8,  Habit  ,  Computer  ,  Android  ,  11:30 PM  ,4,6,  At work  ,  Mobile Data  ,  Saturday  ,  None  ,  YOLO  ,  Happy  ,12,  Omelette  ,  😊  ,  Married  ,  Buddy  
543,52,  Male  ,  Japan  ,84047,  True  ,  False  ,  Waiting staff  ,  Urban  ,  Instagram  ,123,11,2589,  Trends  ,17,3759,5,2,15,82,  Night  ,2,8,  Boredom  ,  Tablet  ,  iOS  ,  11:30 PM  ,4,6,  At school  ,  Wi-Fi  ,  Monday  ,  Espresso  ,  Live Laugh Love  ,  Anxious  ,10,  Toast  ,  💡  ,  nan  ,  Luna  
544,53,  Other  ,  Philippines  ,67775,  nan  ,  True  ,  Students  ,  Rural  ,  YouTube  ,71,4,1783,  Jokes/Memes  ,22,7718,5,13,36,58,  Night  ,2,8,  Habit  ,  Smartphone  ,  iOS  ,  11:30 PM  ,4,6,  At home  ,  Mobile Data  ,  Thursday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,5,  Omelette  ,  😊  ,  Single  ,  None  
545,35,  Other  ,  United States  ,95769,  True  ,  False  ,  Manager  ,  Rural  ,  Instagram  ,111,1,5948,  Pranks  ,18,4263,3,26,47,21,  nan  ,6,4,  Habit  ,  Smartphone  ,  Windows  ,  7:25 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Friday  ,  Latte  ,  Carpe Diem  ,  Anxious  ,10,  Nothing  ,  🔥  ,  Complicated  ,  None  
546,56,  Female  ,  India  ,86677,  True  ,  True  ,  Labor/Worker  ,  nan  ,  Instagram  ,219,13,6595,  Jokes/Memes  ,28,1902,7,29,22,21,  Afternoon  ,6,4,  nan  ,  Tablet  ,  Windows  ,  7:25 PM  ,8,2,  At home  ,  Mobile Data  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Happy  ,7,  Nothing  ,  🔥  ,  Single  ,  Max  
547,49,  Female  ,  Mexico  ,65734,  nan  ,  False  ,  Waiting staff  ,  Urban  ,  Instagram  ,264,18,3521,  Comedy  ,19,2567,3,13,32,65,  Evening  ,7,3,  nan  ,  Tablet  ,  MacOS  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Saturday  ,  Espresso  ,  Hakuna Matata  ,  Excited  ,5,  Nothing  ,  😂  ,  Divorced  ,  None  
548,41,  Female  ,  United States  ,60603,  True  ,  nan  ,  Students  ,  Rural  ,  Instagram  ,29,9,9972,  ASMR  ,4,,2,2,46,3,  Evening  ,7,3,  Boredom  ,  Tablet  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Tuesday  ,  Espresso  ,  Keep going  ,  Sad  ,10,  Pancakes  ,  💡  ,  Complicated  ,  Buddy  
549,40,  Other  ,  India  ,96708,  True  ,  False  ,  Manager  ,  Rural  ,  TikTok  ,67,9,3219,  Life Hacks  ,22,2994,3,19,33,69,  Evening  ,7,3,  Boredom  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Wednesday  ,  Black  ,  YOLO  ,  Happy  ,10,  Toast  ,  😂  ,  Complicated  ,  Max  
550,49,  Male  ,  United States  ,88803,  True  ,  True  ,  Cashier  ,  Urban  ,  Facebook  ,121,9,3758,  Vlogs  ,22,5229,3,22,41,89,  Night  ,3,7,  Habit  ,  Smartphone  ,  Windows  ,  11:30 PM  ,5,5,  At home  ,  Wi-Fi  ,  Friday  ,  Black  ,  Live Laugh Love  ,  Anxious  ,8,  Cereal  ,  😂  ,  Married  ,  Buddy  
551,54,  Male  ,  Japan  ,59332,  True  ,  nan  ,  driver  ,  Rural  ,  TikTok  ,205,10,,  Vlogs  ,23,2010,8,24,39,64,  Night  ,3,7,  Procrastination  ,  Tablet  ,  Android  ,  11:30 PM  ,5,5,  At school  ,  Wi-Fi  ,  Monday  ,  Latte  ,  Hakuna Matata  ,  Sad  ,10,  Pancakes  ,  😴  ,  Complicated  ,  None  
552,29,  Male  ,  United States  ,41312,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  TikTok  ,101,2,2838,  ASMR  ,5,7377,4,16,23,49,  Afternoon  ,6,4,  Boredom  ,  Tablet  ,  iOS  ,  7:25 PM  ,8,2,  At home  ,  Wi-Fi  ,  Wednesday  ,  Cappuccino  ,  Carpe Diem  ,  Tired  ,7,  Cereal  ,  😊  ,  Married  ,  Buddy  
553,30,  Male  ,  Philippines  ,64179,  True  ,  True  ,  Engineer  ,  Rural  ,  YouTube  ,61,6,6001,  Comedy  ,7,830,3,12,43,72,  Night  ,3,7,  Entertainment  ,  Computer  ,  iOS  ,  11:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Sunday  ,  Latte  ,  Live Laugh Love  ,  Sad  ,11,  Toast  ,  🔥  ,  Complicated  ,  Max  
554,40,  Other  ,  Vietnam  ,91442,  True  ,  False  ,  Teacher  ,  Rural  ,  Instagram  ,17,15,7035,  Gaming  ,2,48,5,1,2,17,  Evening  ,7,3,  Procrastination  ,  Tablet  ,  iOS  ,  3:55 PM  ,9,1,  At home  ,  Wi-Fi  ,  Saturday  ,  None  ,  YOLO  ,  Tired  ,8,  Pancakes  ,  💡  ,  Divorced  ,  Buddy  
555,42,  Male  ,  Vietnam  ,60379,  True  ,  True  ,  Students  ,  nan  ,  TikTok  ,107,3,7310,  Entertainment  ,1,4210,4,9,2,73,  Afternoon  ,6,4,  Boredom  ,  Tablet  ,  Android  ,  7:25 PM  ,8,2,  At home  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  Live Laugh Love  ,  Sad  ,8,  Cereal  ,  😴  ,  Complicated  ,  None  
556,52,  Male  ,  Vietnam  ,37297,  False  ,  False  ,  Cashier  ,  Urban  ,  Instagram  ,245,11,4240,  Jokes/Memes  ,12,1178,9,17,38,32,  Evening  ,7,3,  Habit  ,  Tablet  ,  MacOS  ,  3:55 PM  ,9,1,  At work  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  Carpe Diem  ,  Happy  ,9,  Toast  ,  😊  ,  Single  ,  Buddy  
557,58,  Male  ,  Philippines  ,22011,  False  ,  True  ,  Manager  ,  Urban  ,  TikTok  ,78,6,4429,  Jokes/Memes  ,10,5768,8,10,29,70,  Evening  ,7,3,  Entertainment  ,  Smartphone  ,  iOS  ,  3:55 PM  ,9,1,  At work  ,  Mobile Data  ,  Sunday  ,  Cappuccino  ,  Keep going  ,  Anxious  ,7,  Toast  ,  😴  ,  Married  ,  None  
558,47,  Female  ,  United States  ,64014,  True  ,  False  ,  Labor/Worker  ,  Rural  ,  TikTok  ,54,3,9612,  Entertainment  ,8,7878,7,18,46,21,  Evening  ,7,3,  Habit  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  Commuting  ,  Mobile Data  ,  Sunday  ,  None  ,  YOLO  ,  Anxious  ,10,  Omelette  ,  nan  ,  Single  ,  None  
559,34,  Female  ,  India  ,31738,  False  ,  nan  ,  Students  ,  Urban  ,  YouTube  ,146,11,4151,  Pranks  ,1,70,8,19,3,7,  Evening  ,7,3,  nan  ,  Smartphone  ,  Android  ,  3:55 PM  ,9,1,  At school  ,  Mobile Data  ,  Tuesday  ,  Latte  ,  Live Laugh Love  ,  Sad  ,9,  Pancakes  ,  🔥  ,  Complicated  ,  None  
